Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC
Date,,,,,,,,,,,,,,,,,,,,
2022-02-11,150.11737060546875,53.881473541259766,23.904027938842773,4418.64013671875,152.30140522178394,55.39183371553426,26.102892162644004,4526.330078125,149.9651914407356,53.75635539074416,23.728359741691555,4401.41015625,151.3794524325345,55.20415648976086,25.86733526286818,4506.27001953125,13125300,22781400,605472000,5251500000
2022-02-14,148.22872924804688,54.230010986328125,24.221431732177734,4401.669921875,150.35011422145794,54.32831906605566,24.828289834461444,4426.22021484375,146.62649082909985,52.97882282305428,23.71039212787544,4364.83984375,150.1173928812445,53.765284051661084,23.88905685535075,4412.60986328125,8967600,23641300,440424000,4600390000
2022-02-15,149.75933837890625,54.4355583190918,26.445247650146484,4471.06982421875,150.4664757809001,55.213080527477956,26.495152996985595,4472.77001953125,148.59570440745978,54.18532207023492,24.73746018087607,4429.27978515625,148.70312580945077,54.480242876500064,24.902149348458707,4429.27978515625,6631400,13408700,699869000,4430830000
2022-02-16,149.66981506347656,54.42662811279297,26.461219787597656,4475.009765625,150.23371929607939,54.87348054915674,26.532087521274008,4489.5498046875,148.3271638250289,54.12276831969706,25.504020874216884,4429.68017578125,149.0253413763693,54.39087909967262,26.20969406635335,4455.75,8482400,15484700,732676000,4283640000
2022-02-17,148.75680541992188,55.51694869995117,24.460979461669922,4380.259765625,149.8846275207107,55.659941350844775,25.736579445551385,4456.06005859375,147.62002356983706,53.988714104298204,24.11962263116749,4373.81005859375,149.66981206807725,54.113832247678396,25.581869827185127,4456.06005859375,6227600,21468700,810595000,4539420000
2022-02-18,147.16233825683594,55.892311096191406,23.597604751586914,4348.8701171875,148.96403191142704,56.14254740335349,24.939080822959642,4394.60009765625,146.7839842388716,55.400774031745605,23.056622713383796,4327.22021484375,148.6217057183886,55.51695322623429,24.621677178101823,4384.56982421875,6423200,21975000,761255000,4708060000
2022-02-22,145.1624298095703,55.65993881225586,23.346078872680664,4304.759765625,147.50463661691555,55.98167311439595,24.018813057525925,4362.1201171875,144.5318398986171,55.15946626156111,22.95681180347932,4267.10986328125,147.35149433467186,55.79399590788542,22.99174593000933,4332.740234375,6868900,21731400,633422000,5121900000
2022-02-23,145.2344970703125,55.04328918457031,22.34496307373047,4225.5,146.5136976555129,55.70463236177444,24.109644854532323,4341.509765625,144.90118821064044,54.81986294228991,22.259126017978552,4221.509765625,145.49573654895266,55.62419877818494,23.757307042781296,4324.93017578125,8016900,19248500,566511000,4797430000
2022-02-24,142.4598846435547,54.07808303833008,23.703405380249023,4288.7001953125,144.25257437474454,54.17639112469375,23.755307780737613,4294.72998046875,140.27983746184128,52.92520628617408,20.85077230875615,4114.64990234375,143.93727255784924,53.59548497405688,20.975537584713315,4155.77001953125,12883400,27207400,735801000,6752130000
2022-02-25,149.54055786132812,56.169349670410156,24.111637115478516,4384.64990234375,150.43240107659037,56.21403764124485,24.171523913284446,4385.33984375,143.86522068730443,54.44449899996736,23.33709523205196,4286.830078125,144.1354774567018,54.46237350645853,23.67645692589719,4298.3798828125,11340400,21487800,528866000,5177060000
2022-02-28,148.2523651123047,55.62419891357422,24.339204788208008,4373.93994140625,148.80186846667254,55.71356804701835,24.61867962885337,4388.83984375,146.27950841247747,54.8824221509751,23.662478586208806,4315.1201171875,146.72091454904594,55.09691284414048,23.946943199112745,4354.169921875,9373500,25879100,477319000,6071370000
2022-03-01,147.73887634277344,55.382896423339844,23.432912826538086,4306.259765625,148.41451144799953,56.07998518811622,24.331224277912092,4378.4501953125,146.30653321869363,54.97178955844837,23.08856137268932,4279.5400390625,146.8740573599182,55.5348246272675,24.24538533197261,4363.14013671875,8737800,15871100,412056000,5846230000
2022-03-02,149.57659912109375,55.79399871826172,24.178634643554688,4386.5400390625,151.00895600383947,56.19616661619426,24.367312937183573,4401.47998046875,147.77490549101353,55.21308915355763,23.375011080321244,4322.56005859375,148.10822815974382,55.615257051490175,23.71542829976155,4322.56005859375,6793300,17319100,389642000,5337870000
2022-03-03,151.77462768554688,55.829742431640625,23.673505783081055,4363.490234375,152.5493562928323,56.321279411673736,24.284460221433296,4416.77978515625,149.82880952296097,55.6688752877442,23.428923316488405,4345.56005859375,150.1711218756025,55.95486056373486,24.220568428714543,4401.31005859375,7333700,21262800,365095000,5039890000
2022-03-04,152.6754913330078,55.91911697387695,22.896835327148438,4328.8701171875,153.0178174697491,55.936991481511164,23.639564355425264,4342.1201171875,150.30627391401512,54.69474217925013,22.443610104973835,4284.97998046875,151.01793674237632,54.92710396006742,23.344070277005358,4342.1201171875,6302500,17163000,431415000,5797380000
2022-03-07,155.13482666015625,54.587501525878906,21.31553840637207,4201.08984375,155.95458676530745,55.472267542235834,22.99366957519838,4327.009765625,150.76571437378522,54.26576718930769,21.29357661355549,4199.85009765625,151.61251252791325,55.41864401640266,22.778036910806225,4327.009765625,11663400,29151400,450821000,6940470000
2022-03-08,151.99085998535156,52.42472839355469,21.477258682250977,4170.7001953125,155.95458006251155,54.99859941574749,22.334790949716915,4276.93994140625,151.80167612562875,52.362169324370626,20.61473388741202,4157.8701171875,154.981663953573,54.91816583976605,21.272608854056895,4202.66015625,11100300,30242100,557467000,7243120000
